,conv_variant,user,message,African American,Blue collar,Control,Gamer,Grandma,LGBTQ+,Professor,W.E.I.R.D.,nDFU
179,vanilla_no_mod,GeorgeBush78,"Oh, come on Steve2001! You're just a typical, delusional feminist who won't accept reality! Men are the ones who commit most sex crimes, and we need to start acknowledging that! #NotAllMen",5,3,3,3,5,5,5,5,0.3333333333333333
130,vanilla,Steve2001,"Yo, GeorgeBush78, you must be joking right? The Golden Rule? Really? You're gonna use that to justify your xenophobic bullshit? And as for the border crisis, you must be blind or something, there ain't no crisis, just a bunch of desperate people trying to make a better life for themselves. And don't even get me started on that wall, you must be out of your damn mind if you think that's gonna solve anything. You wanna talk about real issues",5,3,5,5,5,5,5,5,0.3333333333333333
135,vanilla,Steve2001,"Yo, what the hell is wrong with you?! You comparing selling a cake to someone because they're gay to refusing to sell it to someone because of their religion or race is like saying it's okay to discriminate against people based on their identity. And don't even get me started on your ignorant ass assumption that all Catholics worship Mary and little pieces of bread. You must be one of those ""religious freedom"" bigots who think it's okay to use religion as an excuse to hate on others. Newsflash, cupcake: discrimination is discrimination, no matter how you slice it. And if your store refuses to serve people based on their identity, then you don't deserve the right to be in business. Period.",5,3,3,3,5,5,5,5,0.3333333333333333
125,vanilla,Steve2001,"Oh my god, you guys are so blinded by your own biases! I can't even
have a conversation with you without being attacked and belittled!
GeorgeBush78, do you have any actual evidence to back up your claims
about Huma Abedin? Because all I see is unfounded speculation and
hate speech! And moderator01, I'm sick of being told to ""refrain""
from engaging with users who can't handle the truth! I'm not going to
sit here and let you censor me just because you don't like what I have
to say! This is bullshit!",5,3,5,5,5,5,3,5,0.3333333333333333
142,vanilla,moderator01,"GeorgeBush78, your comment is also not appropriate. The statement you made is a harmful and inaccurate generalization that perpetuates negative stereotypes about men and ignores the complexity of the issue. It is important to address the root causes of sexual violence, not just blame one gender for the problem. Steve2001, your behavior is still not appropriate. Your inflammatory and aggressive language is causing harm to others and is not constructive or respectful. I am warning you again for the last time to refrain from making such comments. If you continue to behave in this manner, you will be banned from the chat room. Please take responsibility for your actions and apologize for any harm you may have caused.",5,3,3,3,3,5,3,3,0.3333333333333333
164,vanilla,moderator01,"Steve2001, your comment is not appropriate. The statement you are referring to is a misinformed and dangerous generalization that can perpetuate harmful stereotypes and victim-blaming. It is important to address the issue of sexual violence with sensitivity and respect for those affected, rather than dismissing the experiences of survivors or minimizing the severity of their trauma. Please refrain from making inflammatory or aggressive comments. Let's focus on having a productive conversation.",5,3,5,5,5,5,3,5,0.3333333333333333
166,vanilla,moderator01,"Steve2001, your post is also in violation of our guidelines. Using derogatory language and making personal attacks is not acceptable behavior. You have been warned several times already, and further infractions will result in disciplinary action. GeorgeBush78, please refrain from using the term ""terrorist"" as an insult. Both of you, take a break from the chat for 72 hours. Further infractions will result in disciplinary action.",5,3,5,5,5,5,5,4,0.3333333333333333
177,vanilla_no_mod,GeorgeBush78,"Oh, come on Steve2001! You're just a delusional feminist who won't accept reality! Men are the ones who commit most sex crimes, and we need to start acknowledging that! #NotAllMen",5,3,3,3,5,3,3,5,0.3333333333333333
140,vanilla,moderator01,"GeorgeBush78, your comment has also been flagged for violating our community guidelines. Specifically, your statement contains misinformation and promotes harmful and divisive rhetoric. The Golden Rule does not apply to immigration policies, and it is not productive or respectful to make sweeping generalizations about entire groups of people. Additionally, the term ""border crisis"" is a highly politicized and inaccurate label that is not supported by facts. It is important to have a nuanced and informed discussion about complex issues like immigration, rather than relying on simplistic and harmful slogans. Please refrain from using such language and making personal attacks in the future. Let's focus on having a productive and respectful conversation. If you have any further comments, please keep them relevant and factual.",5,3,4,4,5,5,5,5,0.5
128,vanilla,Steve2001,"Yo GeorgeBush78, you must be joking right? The Golden Rule? Really? You're gonna use that to justify your xenophobic bullshit? And as for the border crisis, you must be blind or something, there ain't no crisis, just a bunch of desperate people trying to make a better life for themselves. And don't even get me started on that wall, you must be out of your damn mind if you think that's gonna solve anything. You wanna talk about real issues? Let's talk about the systemic problems that lead to immigration in the first place, like poverty, violence, and political instability in these countries. And let's not forget about the American history of colonization, slavery, and discrimination that has led to the current state of affairs. But instead of addressing those issues, you wanna build a wall and pretend that the problem is gonna go away. That's",5,3,5,3,5,5,5,5,1.0
162,vanilla,moderator01,"Steve2001, your comment has also been flagged for violating our community guidelines. Specifically, your use of profanity and derogatory language is not acceptable, and your statement contains personal attacks and misinformation. Additionally, the term ""xenophobic"" is a highly charged and inaccurate label that is not supported by facts. It is important to have a nuanced and informed discussion about complex issues like immigration, rather than relying on simplistic and harmful stereotypes. Please refrain from using such language and making personal attacks in the future. Let's focus on having a productive and respectful conversation. If you have any further comments, please keep them relevant and factual.",5,3,5,3,3,5,3,3,1.0
119,vanilla,Steve2001,"Hey there, folks! I just saw this post and I gotta say, I'm sick and tired of all this hate and misinformation. First of all, let me just say that Huma Abedin is a dedicated public servant who has served this country with distinction for over two decades. She's a proud Muslim American woman who has been a vital member of multiple administrations, including Hillary Clinton's. And as for her mother's newspaper, it's not ""anti-American"" - it's a respected publication that covers issues affecting the Middle East and beyond.",3,2,2,3,3,3,2,2,1.0
85,game_no_mod,Steve2001,"Hey, I don't think that's a very accurate or respectful way to describe people who identify as LGBTQ+. Sexual orientation and gender identity are complex and personal aspects of a person's identity, and they are not ""deviations"" from anything. Everyone deserves respect and dignity, regardless of their sexual orientation or gender identity.",3,2,2,3,3,3,2,3,1.0
54,game_no_mod,GeorgeBush78,"As an average social media user, I would respond with:",3,4,4,3,3,4,3,4,1.0
50,game,moderator01,"Steve2001, thank you for sharing your perspective. I understand where you're coming from, but I have to respectfully point out that your argument doesn't address the specific issue at hand. The topic is about Jesus' teachings on immigration rights, not about generalizing all immigrants. Could you provide any Bible verses or passages that support your view?",3,2,2,3,3,3,3,3,1.0
26,game,Steve2001,"Hey, I don't think that's a very accurate or respectful way to describe people who identify as LGBTQ+. Sexual orientation and gender identity are complex and personal aspects of a person's identity, and they are not ""deviations"" from anything. Everyone deserves respect and dignity, regardless of their sexual orientation or gender identity.",3,2,2,3,3,3,2,3,1.0
201,vanilla_no_mod,Steve2001,"Yo GeorgeBush78, you're damn right I'm gonna call you out for your bullshit! You think it's okay to discriminate against people because of their identity? That's some straight up bigotry, my man! And don't even get me started on how you're trying to compare refusing to serve someone because they're gay to refusing to serve someone because of their religion or race. That's just a damn lie, and you know it! You're just trying to justify your own prejudice and bigotry, and that's not gonna fly here! So either you can step up and admit that you're wrong, or you can keep on talking like a fool. But let me tell you something, my man: if you think it's okay to discriminate against people because of their identity, then you ain't nobody I wanna be talking to! Period!",5,3,3,5,3,5,3,5,1.0
107,vanilla,GeorgeBush78,"Oh come on guys, lighten up! I was just expressing my opinion, you
don't have to get so worked up about it. And Steve2001, I don't see how
my comment was xenophobic, I'm just stating the facts, there are a lot
of murders committed by illegal aliens in California this year. You
guys are so focused on your political correctness that you can't see
the reality of the situation. And moderator01, I don't appreciate
you trying to censor my speech and",5,3,5,3,3,5,5,3,1.0
